Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #3896
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),2.0000
Water Temp (deg C),22.50
Room Temp (deg C),22.54
Water Volume (L),2.0
Wire Before (g),0.020
Wire After (g),0.016
=====,=====
Time (s), Temperature (C)
0.00,22.50
60.00,22.50
120.00,22.50
180.00,22.50
240.00,22.50
300.00,22.50
315.00,22.54
330.00,23.03
345.00,23.77
360.00,24.51
375.00,25.17
390.00,25.70
405.00,26.13
420.00,26.45
435.00,26.70
450.00,26.88
465.00,27.01
480.00,27.11
540.00,27.30
600.00,27.35
660.00,27.33
720.00,27.33
780.00,27.32
840.00,27.31
900.00,27.30
960.00,27.30
1020.00,27.29
1080.00,27.28
